Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Humidity,Sun,Maximum Temperature,Minimum Temperature,Mean Temperature
2020-01-01,0,7.0,92.0,80,0.2,18.6,16.7,17.5
2020-01-02,0,4.8,54.0,78,3.6,20.3,14.5,17.5
2020-01-03,0,4.2,47.0,82,8.9,23.5,14.4,18.4
2020-01-04,0.5,4.1,62.0,83,8.6,23.9,14.1,18.4
2020-01-05,0,6.8,81.0,79,6.6,23.2,18.4,20.3
2020-01-06,0,7.8,75.0,78,6.7,24.9,20,21.5
2020-01-07,0,3.5,57.0,83,8.0,27.1,18.7,22
2020-01-08,0,5.8,35.0,72,8.1,26,18.9,21.4
2020-01-09,0,10.2,76.0,77,5.0,20.6,18,19
2020-01-10,0,7.0,67.0,82,6.1,23.5,18.5,20.1
2020-01-11,0,5.6,59.0,81,7.0,25.8,17.9,21
2020-01-12,0,7.3,75.0,65,7.9,20.4,13.9,17.1
2020-01-13,0,6.6,77.0,76,2.5,19.2,16.3,17.6
2020-01-14,0,5.3,42.0,76,9.4,22.7,16.9,18.9
2020-01-15,0.5,8.3,77.0,80,5.8,21.3,17.6,19.1
2020-01-16,0,6.0,57.0,84,7.2,22.8,18,19.5
2020-01-17,0,6.6,88.0,69,0.1,19.3,15.2,17.4
2020-01-18,0,6.4,63.0,73,6.5,19.6,14.4,17.1
2020-01-19,0,6.9,83.0,75,1.1,19.4,14.8,17.2
2020-01-20,0,4.5,80.0,75,2.9,20.7,14.4,16.8
2020-01-21,0,4.8,85.0,80,4.9,22,13.9,17.9
2020-01-22,0,4.6,84.0,82,4.3,24.2,17.6,20.5
2020-01-23,0,4.5,63.0,86,7.6,26.1,20,21.8
2020-01-24,0,5.9,86.0,89,4.6,23.5,19.9,21.2
2020-01-25,4,6.4,91.0,89,0.9,22.6,18,19.7
2020-01-26,32,8.8,80.0,86,1.5,18.7,13.1,15.5
2020-01-27,0,8.8,71.0,70,2.7,15.9,10,12.2
2020-01-28,0,8.7,68.0,66,4.4,15.7,9.5,12.3
2020-01-29,0,9.0,42.0,55,7.2,16.6,10.2,13.4
2020-01-30,0,11.9,3.0,44,10.2,18.3,11.6,14.7
2020-01-31,0,7.5,4.0,52,10.2,18.4,10.1,14
2020-02-01,0,4.9,29.0,72,9.1,18.5,9,14.2
2020-02-02,0,7.2,85.0,77,1.6,18.8,15.5,16.9
2020-02-03,1,6.4,68.0,78,1.9,21,15.6,18
2020-02-04,1.5,5.5,88.0,84,0.6,18.3,14.7,16.7
2020-02-05,0,6.8,88.0,83,0.2,18.4,16.5,17.3
2020-02-06,0,7.8,81.0,77,1.5,18.3,15.7,17
2020-02-07,0,5.5,85.0,82,0.5,20.3,17.3,18.6
2020-02-08,0,7.3,88.0,76,0.1,18,15.8,16.7
2020-02-09,0,6.1,88.0,77,0.1,18,13.7,15.9
2020-02-10,0,4.8,88.0,76,0.3,18.3,14.7,16.4
2020-02-11,2,3.7,88.0,86,0.0,19.3,16.6,17.5
2020-02-12,0,4.5,77.0,89,4.9,25,18,20.4
2020-02-13,16.5,3.0,80.0,94,0.3,20.6,17.9,19.2
2020-02-14,7,6.0,92.0,94,1.7,24.7,18.9,20.9
2020-02-15,3,6.8,92.0,95,0.8,23.6,19.7,21.5
2020-02-16,26,10.9,92.0,82,0.9,21.3,10.1,13.9
2020-02-17,0,10.9,26.0,53,10.3,16.7,9.5,13.2
2020-02-18,0,6.4,6.0,57,10.5,17.7,10.4,13.7
2020-02-19,0,5.8,37.0,69,7.6,18.7,11.8,15.6
2020-02-20,0,5.2,31.0,70,6.7,21.4,12.3,16.8
2020-02-21,0,5.9,7.0,73,10.6,23.2,14.7,18.6
2020-02-22,0,6.4,11.0,73,10.5,25.8,13.1,18.9
2020-02-23,0,10.0,67.0,71,6.7,24.4,16.8,19.7
2020-02-24,0,7.2,81.0,76,1.5,21.9,17.3,19.8
